Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Hygiene products to Storm water and wastewater,0$\pm$0,210$\pm$180,190$\pm$110,0$\pm$0,0$\pm$0,0$\pm$0,200$\pm$130,600$\pm$300,210$\pm$180,0$\pm$0,0,6,6,0,0,0,6,6,6,0
Hygiene products to Dumping,0$\pm$0,0.26$\pm$0.18,0.28$\pm$0.21,0$\pm$0,0$\pm$0,0$\pm$0,0.27$\pm$0.17,0.81$\pm$0.41,0.26$\pm$0.18,0$\pm$0,0,1,1,0,0,0,1,1,1,0
PCCP to Waste collection and recycling,0$\pm$0,3.8$\pm$2.9,0.0082$\pm$0.006,0$\pm$0,0$\pm$0,0$\pm$0,0.0122$\pm$0.0092,3.8$\pm$2.9,3.8$\pm$2.9,0$\pm$0,0,2,1,0,0,0,1,2,2,0
PCCP to Storm water and wastewater (MP),0$\pm$0,72$\pm$42,0.157$\pm$0.085,0$\pm$0,0$\pm$0,0$\pm$0,0.23$\pm$0.13,73$\pm$42,72$\pm$42,0$\pm$0,0,4,1,0,0,0,1,4,4,0
Clothing to Waste collection and recycling,0$\pm$0,240$\pm$130,6600$\pm$2300,0$\pm$0,0$\pm$0,0$\pm$0,22900$\pm$3400,29800$\pm$4100,240$\pm$130,0$\pm$0,0,6,8,0,0,0,10,10,6,0
Clothing to Storm water and wastewater (MP),0$\pm$0,0.6$\pm$1.2,16$\pm$29,0$\pm$0,0$\pm$0,0$\pm$0,56$\pm$95,70$\pm$120,0.6$\pm$1.2,0$\pm$0,0,1,4,0,0,0,4,4,1,0
Clothing to Dumping,0$\pm$0,0.065$\pm$0.044,1.81$\pm$0.92,0$\pm$0,0$\pm$0,0$\pm$0,6.2$\pm$2.7,8.1$\pm$2.8,0.065$\pm$0.044,0$\pm$0,0,1,2,0,0,0,2,2,1,0
Clothing to Indoor air (MP),0$\pm$0,0.38$\pm$0.57,11$\pm$15,0$\pm$0,0$\pm$0,0$\pm$0,36$\pm$47,47$\pm$61,0.38$\pm$0.57,0$\pm$0,0,1,4,0,0,0,4,4,1,0
Clothing to Air (MP),0$\pm$0,0.12$\pm$0.23,3.3$\pm$5.6,0$\pm$0,0$\pm$0,0$\pm$0,11$\pm$18,15$\pm$24,0.12$\pm$0.23,0$\pm$0,0,1,2,0,0,0,4,4,1,0
Household textiles to Waste collection and recycling,0$\pm$0,215$\pm$47,5900$\pm$1100,0$\pm$0,0$\pm$0,0$\pm$0,14500$\pm$2600,20500$\pm$2800,215$\pm$47,0$\pm$0,0,6,8,0,0,0,10,10,6,0
Household textiles to Storm water and wastewater (MP),0$\pm$0,0.1$\pm$0.18,2.7$\pm$4.8,0$\pm$0,0$\pm$0,0$\pm$0,7$\pm$11,9$\pm$16,0.1$\pm$0.18,0$\pm$0,0,1,2,0,0,0,2,2,1,0
Household textiles to Dumping,0$\pm$0,0.058$\pm$0.026,1.6$\pm$0.66,0$\pm$0,0$\pm$0,0$\pm$0,3.9$\pm$1.7,5.5$\pm$1.9,0.058$\pm$0.026,0$\pm$0,0,1,2,0,0,0,2,2,1,0
Household textiles to Indoor air (MP),0$\pm$0,0.37$\pm$0.32,10$\pm$8.5,0$\pm$0,0$\pm$0,0$\pm$0,25$\pm$21,35$\pm$29,0.37$\pm$0.32,0$\pm$0,0,1,4,0,0,0,4,4,1,0
Household textiles to Air (MP),0$\pm$0,0.016$\pm$0.035,0.44$\pm$0.92,0$\pm$0,0$\pm$0,0$\pm$0,1.1$\pm$2.2,1.6$\pm$3.2,0.016$\pm$0.035,0$\pm$0,0,1,1,0,0,0,2,2,1,0
Other products to Waste collection and recycling,7600$\pm$2600,20900$\pm$6400,41800$\pm$7000,17300$\pm$3100,228$\pm$90,10600$\pm$3100,2600$\pm$1100,101000$\pm$11000,28500$\pm$6900,17.5$\pm$3.1,8,10,10,10,6,10,8,10,10,10
Other products to Storm water and wastewater (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,7.1$\pm$3.4,0$\pm$0,7.1$\pm$3.4,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Other products to On-the-go consumption,0$\pm$0,0$\pm$0,132$\pm$57,66$\pm$37,0$\pm$0,0$\pm$0,0$\pm$0,198$\pm$68,0$\pm$0,0.066$\pm$0.037,0,0,6,4,0,0,0,6,0,4
Other products to Dumping,2$\pm$1,6$\pm$2.8,9.5$\pm$2.9,4.9$\pm$1.5,0.062$\pm$0.038,2.9$\pm$1.2,0.68$\pm$0.4,26.3$\pm$4.6,8.2$\pm$3,0.0049$\pm$0.0015,2,2,2,2,1,2,1,4,2,2
Other products to Organic waste collection,0$\pm$0,17.1$\pm$8.3,195$\pm$75,38$\pm$14,0$\pm$0,0$\pm$0,0$\pm$0,250$\pm$76,17.1$\pm$8.3,0.038$\pm$0.014,0,4,6,4,0,0,0,6,4,4
Other products to Soil (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,7.1$\pm$3.4,0$\pm$0,7.1$\pm$3.4,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
