Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Dumping to Litter,28.9$\pm$8.1,30.6$\pm$6.3,33.4$\pm$6.1,14.9$\pm$3.5,8.5$\pm$3.3,24.5$\pm$6.6,34.6$\pm$7.6,175$\pm$16,60$\pm$10,0.0234$\pm$0.0048,4,4,4,4,2,4,4,6,4,4
Indoor air to Waste collection and recycling,0$\pm$0,1.17$\pm$0.73,20$\pm$13,1.42$\pm$0.91,0$\pm$0,5.3$\pm$4.2,35$\pm$33,62$\pm$42,1.17$\pm$0.73,0.00142$\pm$0.00091,0,2,4,2,0,2,4,4,2,2
Indoor air to Storm water and wastewater (MP),0$\pm$0,0.21$\pm$0.14,3.5$\pm$2.5,0.25$\pm$0.18,0$\pm$0,0.95$\pm$0.83,6.2$\pm$6.2,11.1$\pm$7.9,0.21$\pm$0.14,0.00025$\pm$0.00018,0,1,2,1,0,1,2,4,1,1
Indoor air to Air (MP),0$\pm$0,0.67$\pm$0.59,11$\pm$11,0.83$\pm$0.75,0$\pm$0,3.1$\pm$3.4,20$\pm$24,36$\pm$30,0.67$\pm$0.59,0.00083$\pm$0.00075,0,1,4,1,0,2,4,4,1,1
Air to Soil (MP),3.1$\pm$1.3,11.2$\pm$6,29$\pm$15,7.6$\pm$3.3,2.3$\pm$0.58,8.9$\pm$4.7,31$\pm$34,93$\pm$45,14.3$\pm$6.1,0.0099$\pm$0.0033,2,4,4,2,2,2,4,4,4,2
Air to Water (MP),0.16$\pm$0.11,0.55$\pm$0.45,1.4$\pm$1.1,0.37$\pm$0.27,0.112$\pm$0.067,0.43$\pm$0.36,1.5$\pm$2,4.5$\pm$2.6,0.71$\pm$0.46,0.00048$\pm$0.00028,1,1,2,1,1,1,2,2,1,1
Organic waste collection to Compost,7.9$\pm$4.8,8.7$\pm$5.3,9.2$\pm$5.4,2$\pm$1.2,0$\pm$0,0.66$\pm$0.43,7.9$\pm$4.6,36$\pm$10,16.6$\pm$7.2,0.002$\pm$0.0012,2,2,2,2,0,1,2,4,4,2
Organic waste collection to Compost (MP),7$\pm$4.4,7.7$\pm$4.8,8.1$\pm$5,1.8$\pm$1.1,0$\pm$0,0.58$\pm$0.39,7$\pm$4.2,32.2$\pm$9.4,14.7$\pm$6.5,0.0018$\pm$0.0011,2,2,2,2,0,1,2,4,4,2
Organic waste collection to End-of-life,1260$\pm$290,1380$\pm$330,1460$\pm$280,320$\pm$82,0$\pm$0,104$\pm$31,1250$\pm$220,5770$\pm$570,2640$\pm$440,0.32$\pm$0.082,8,8,8,6,0,6,8,8,8,6
Compost to Soil,7.9$\pm$4.8,8.7$\pm$5.3,9.2$\pm$5.4,2$\pm$1.2,0$\pm$0,0.66$\pm$0.43,7.9$\pm$4.6,36$\pm$10,16.6$\pm$7.2,0.002$\pm$0.0012,2,2,2,2,0,1,2,4,4,2
Compost (MP) to Soil (MP),7$\pm$4.4,7.7$\pm$4.8,8.1$\pm$5,1.8$\pm$1.1,0$\pm$0,0.58$\pm$0.39,7$\pm$4.2,32.2$\pm$9.4,14.7$\pm$6.5,0.0018$\pm$0.0011,2,2,2,2,0,1,2,4,4,2
